Event,Time,L1,L2,H,Server Available,Queue Size,Process Time,Queue Contents
L2 queued,106.84,107.32,106.98,106.94,false,513,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
Taken FROM QUEUE,106.94,107.32,106.98,108.62,true,512,1.68,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,106.98,107.32,107.09,108.62,false,513,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,107.09,107.32,107.23,108.62,false,514,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,107.23,107.32,107.40,108.62,false,515,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,107.32,108.05,107.40,108.62,false,516,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,107.40,108.05,107.55,108.62,false,517,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,107.55,108.05,107.81,108.62,false,518,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,107.81,108.05,107.89,108.62,false,519,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,107.89,108.05,108.63,108.62,false,520,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,108.05,108.37,108.63,108.62,false,521,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,108.37,108.79,108.63,108.62,false,522,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
Taken FROM QUEUE,108.62,108.79,108.63,110.63,true,521,2.01,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,108.63,108.79,108.68,110.63,false,522,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,108.68,108.79,108.97,110.63,false,523,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,108.79,109.20,108.97,110.63,false,524,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,108.97,109.20,109.10,110.63,false,525,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,109.10,109.20,109.41,110.63,false,526,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,109.20,110.09,109.41,110.63,false,527,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,109.41,110.09,109.80,110.63,false,528,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,109.80,110.09,109.98,110.63,false,529,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,109.98,110.09,110.04,110.63,false,530,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,110.04,110.09,110.09,110.63,false,531,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,110.09,110.69,110.09,110.63,false,532,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,110.09,110.69,110.31,110.63,false,533,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,110.31,110.69,110.59,110.63,false,534,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,110.59,110.69,110.87,110.63,false,535,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
Taken FROM QUEUE,110.63,110.69,110.87,112.42,true,534,1.79,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,110.69,111.02,110.87,112.42,false,535,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,110.87,111.02,111.44,112.42,false,536,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,111.02,114.24,111.44,112.42,false,537,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,111.44,114.24,111.75,112.42,false,538,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,111.75,114.24,111.96,112.42,false,539,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,111.96,114.24,112.20,112.42,false,540,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,112.20,114.24,112.27,112.42,false,541,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,112.27,114.24,112.43,112.42,false,542,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
Taken FROM QUEUE,112.42,114.24,112.43,114.63,true,541,2.21,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,112.43,114.24,112.60,114.63,false,542,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,112.60,114.24,112.66,114.63,false,543,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,112.66,114.24,112.78,114.63,false,544,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,112.78,114.24,113.38,114.63,false,545,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,113.38,114.24,113.73,114.63,false,546,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,113.73,114.24,113.80,114.63,false,547,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,113.80,114.24,113.83,114.63,false,548,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,113.83,114.24,114.20,114.63,false,549,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,114.20,114.24,114.60,114.63,false,550,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,114.24,115.75,114.60,114.63,false,551,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,114.60,115.75,114.77,114.63,false,552,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
Taken FROM QUEUE,114.63,115.75,114.77,116.90,true,551,2.27,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,114.77,115.75,114.80,116.90,false,552,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,114.80,115.75,115.33,116.90,false,553,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,115.33,115.75,115.37,116.90,false,554,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,115.37,115.75,115.49,116.90,false,555,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,115.49,115.75,116.45,116.90,false,556,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,115.75,115.85,116.45,116.90,false,557,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,115.85,116.57,116.45,116.90,false,558,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,116.45,116.57,116.58,116.90,false,559,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,116.57,119.08,116.58,116.90,false,560,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,116.58,119.08,116.73,116.90,false,561,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,116.73,119.08,117.08,116.90,false,562,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
Taken FROM QUEUE,116.90,119.08,117.08,119.08,true,561,2.19,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,117.08,119.08,117.39,119.08,false,562,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,117.39,119.08,117.49,119.08,false,563,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,117.49,119.08,117.50,119.08,false,564,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,117.50,119.08,117.75,119.08,false,565,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,117.75,119.08,117.93,119.08,false,566,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,117.93,119.08,118.10,119.08,false,567,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,118.10,119.08,118.26,119.08,false,568,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,118.26,119.08,118.66,119.08,false,569,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,118.66,119.08,119.76,119.08,false,570,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,119.08,119.08,119.76,119.08,false,571,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,119.08,119.10,119.76,119.08,false,572,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
Taken FROM QUEUE,119.08,119.10,119.76,121.56,true,571,2.47,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,119.10,119.68,119.76,121.56,false,572,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,119.68,119.83,119.76,121.56,false,573,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,119.76,119.83,120.65,121.56,false,574,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,119.83,119.95,120.65,121.56,false,575,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,119.95,120.73,120.65,121.56,false,576,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,120.65,120.73,121.02,121.56,false,577,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,120.73,121.07,121.02,121.56,false,578,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,121.02,121.07,121.09,121.56,false,579,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,121.07,122.23,121.09,121.56,false,580,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,121.09,122.23,122.00,121.56,false,581,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
Taken FROM QUEUE,121.56,122.23,122.00,122.94,true,580,1.38,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,122.00,122.23,122.02,122.94,false,581,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,122.02,122.23,122.44,122.94,false,582,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,122.23,122.48,122.44,122.94,false,583,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,122.44,122.48,123.01,122.94,false,584,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,122.48,122.97,123.01,122.94,false,585,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
Taken FROM QUEUE,122.94,122.97,123.01,125.39,true,584,2.45,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,122.97,123.10,123.01,125.39,false,585,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,123.01,123.10,123.19,125.39,false,586,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,123.10,124.24,123.19,125.39,false,587,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,123.19,124.24,123.37,125.39,false,588,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,123.37,124.24,124.09,125.39,false,589,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,124.09,124.24,124.31,125.39,false,590,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,124.24,125.14,124.31,125.39,false,591,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,124.31,125.14,124.42,125.39,false,592,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,124.42,125.14,124.91,125.39,false,593,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,124.91,125.14,125.11,125.39,false,594,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,125.11,125.14,125.60,125.39,false,595,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,125.14,126.23,125.60,125.39,false,596,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
Taken FROM QUEUE,125.39,126.23,125.60,127.62,true,595,2.23,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,125.60,126.23,125.75,127.62,false,596,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,125.75,126.23,125.75,127.62,false,597,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,125.75,126.23,125.83,127.62,false,598,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,125.83,126.23,126.11,127.62,false,599,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,126.11,126.23,126.29,127.62,false,600,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,126.23,126.52,126.29,127.62,false,601,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,126.29,126.52,126.45,127.62,false,602,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,126.45,126.52,126.45,127.62,false,603,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,126.45,126.52,126.55,127.62,false,604,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,126.52,126.87,126.55,127.62,false,605,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,126.55,126.87,126.65,127.62,false,606,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,126.65,126.87,126.82,127.62,false,607,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,126.82,126.87,126.92,127.62,false,608,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,126.87,128.27,126.92,127.62,false,609,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,126.92,128.27,127.01,127.62,false,610,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,127.01,128.27,127.47,127.62,false,611,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,127.47,128.27,127.54,127.62,false,612,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,127.54,128.27,128.38,127.62,false,613,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
Taken FROM QUEUE,127.62,128.27,128.38,129.46,true,612,1.85,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,128.27,128.99,128.38,129.46,false,613,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,128.38,128.99,128.44,129.46,false,614,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,128.44,128.99,128.64,129.46,false,615,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,128.64,128.99,128.66,129.46,false,616,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,128.66,128.99,128.67,129.46,false,617,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,128.67,128.99,129.68,129.46,false,618,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,128.99,131.00,129.68,129.46,false,619,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
Taken FROM QUEUE,129.46,131.00,129.68,131.68,true,618,2.21,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,129.68,131.00,130.60,131.68,false,619,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,130.60,131.00,130.78,131.68,false,620,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,130.78,131.00,130.87,131.68,false,621,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,130.87,131.00,130.91,131.68,false,622,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,130.91,131.00,131.15,131.68,false,623,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,131.00,131.86,131.15,131.68,false,624,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,131.15,131.86,131.74,131.68,false,625,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
Taken FROM QUEUE,131.68,131.86,131.74,133.69,true,624,2.02,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,131.74,131.86,131.92,133.69,false,625,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,131.86,133.64,131.92,133.69,false,626,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,131.92,133.64,131.94,133.69,false,627,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,131.94,133.64,132.31,133.69,false,628,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,132.31,133.64,132.40,133.69,false,629,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,132.40,133.64,133.41,133.69,false,630,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,133.41,133.64,134.41,133.69,false,631,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,133.64,134.06,134.41,133.69,false,632,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
Taken FROM QUEUE,133.69,134.06,134.41,135.15,true,631,1.46,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,134.06,134.48,134.41,135.15,false,632,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,134.41,134.48,134.46,135.15,false,633,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,134.46,134.48,134.97,135.15,false,634,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,134.48,134.50,134.97,135.15,false,635,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,134.50,135.62,134.97,135.15,false,636,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,134.97,135.62,135.00,135.15,false,637,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,135.00,135.62,135.18,135.15,false,638,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
Taken FROM QUEUE,135.15,135.62,135.18,136.96,true,637,1.81,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,135.18,135.62,135.74,136.96,false,638,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,135.62,136.72,135.74,136.96,false,639,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,135.74,136.72,136.33,136.96,false,640,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,136.33,136.72,136.66,136.96,false,641,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,136.66,136.72,137.04,136.96,false,642,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,136.72,136.74,137.04,136.96,false,643,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,136.74,137.71,137.04,136.96,false,644,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
Taken FROM QUEUE,136.96,137.71,137.04,138.75,true,643,1.79,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,137.04,137.71,137.43,138.75,false,644,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,137.43,137.71,137.46,138.75,false,645,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,137.46,137.71,137.51,138.75,false,646,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,137.51,137.71,137.60,138.75,false,647,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,137.60,137.71,137.84,138.75,false,648,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,137.71,140.53,137.84,138.75,false,649,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,137.84,140.53,138.63,138.75,false,650,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,138.63,140.53,138.65,138.75,false,651,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,138.65,140.53,138.83,138.75,false,652,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
Taken FROM QUEUE,138.75,140.53,138.83,140.70,true,651,1.95,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,138.83,140.53,138.97,140.70,false,652,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,138.97,140.53,139.23,140.70,false,653,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,139.23,140.53,139.31,140.70,false,654,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,139.31,140.53,139.53,140.70,false,655,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,139.53,140.53,139.60,140.70,false,656,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,139.60,140.53,139.81,140.70,false,657,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,139.81,140.53,139.98,140.70,false,658,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,139.98,140.53,140.24,140.70,false,659,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,140.24,140.53,140.29,140.70,false,660,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,140.29,140.53,140.30,140.70,false,661,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,140.30,140.53,141.09,140.70,false,662,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,140.53,140.64,141.09,140.70,false,663,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,140.64,142.15,141.09,140.70,false,664,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
Taken FROM QUEUE,140.70,142.15,141.09,142.67,true,663,1.97,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,141.09,142.15,141.48,142.67,false,664,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,141.48,142.15,141.63,142.67,false,665,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,141.63,142.15,142.29,142.67,false,666,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,142.15,142.88,142.29,142.67,false,667,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,142.29,142.88,142.54,142.67,false,668,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,142.54,142.88,142.97,142.67,false,669,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
Taken FROM QUEUE,142.67,142.88,142.97,144.80,true,668,2.13,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,142.88,143.98,142.97,144.80,false,669,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,142.97,143.98,143.62,144.80,false,670,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,143.62,143.98,144.30,144.80,false,671,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,143.98,144.16,144.30,144.80,false,672,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,144.16,145.59,144.30,144.80,false,673,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,144.30,145.59,144.45,144.80,false,674,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,144.45,145.59,144.46,144.80,false,675,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,144.46,145.59,144.54,144.80,false,676,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,144.54,145.59,144.62,144.80,false,677,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,144.62,145.59,144.68,144.80,false,678,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,144.68,145.59,144.78,144.80,false,679,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,144.78,145.59,144.85,144.80,false,680,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
Taken FROM QUEUE,144.80,145.59,144.85,146.38,true,679,1.59,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,144.85,145.59,144.95,146.38,false,680,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,144.95,145.59,144.98,146.38,false,681,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,144.98,145.59,145.34,146.38,false,682,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,145.34,145.59,145.37,146.38,false,683,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,145.37,145.59,145.37,146.38,false,684,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,145.37,145.59,145.74,146.38,false,685,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,145.59,146.15,145.74,146.38,false,686,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,145.74,146.15,145.96,146.38,false,687,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,145.96,146.15,146.11,146.38,false,688,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,146.11,146.15,146.59,146.38,false,689,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,146.15,146.62,146.59,146.38,false,690,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
Taken FROM QUEUE,146.38,146.62,146.59,148.22,true,689,1.83,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,146.59,146.62,146.95,148.22,false,690,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,146.62,147.46,146.95,148.22,false,691,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,146.95,147.46,147.10,148.22,false,692,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,147.10,147.46,147.15,148.22,false,693,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,147.15,147.46,147.30,148.22,false,694,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,147.30,147.46,148.46,148.22,false,695,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,147.46,147.97,148.46,148.22,false,696,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,147.97,148.07,148.46,148.22,false,697,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L1 queued,148.07,149.25,148.46,148.22,false,698,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
Taken FROM QUEUE,148.22,149.25,148.46,149.70,true,697,1.48,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
L2 queued,148.46,149.25,148.52,149.70,false,698,0.00,"0.16 | 0.41 | 0.49 | 0.74 | 0.54"
